15714, 85292
17469, 34360
17469, 61279
17469, 97918
29068, 103453
46527, 55942
79038, 97493
8295, 66679
13458, 72962
36438, 38392
45110, 48670
68101, 93602
12451, 52380
30250, 73568
58327, 68323
20163, 77806
67674, 77806
26562, 100800
56951, 82714
18387, 74895
50458, 60182
19152, 43038
8001, 42121
1323, 10582
10582, 34827
33145, 51236
49458, 87444
11737, 25620
81962, 100950
13028, 91946
16013, 78972
38893, 47112
38893, 78029
68158, 81962
23895, 61924
8001, 80000
7715, 35810
18956, 30250
28511, 47929
28511, 86156
30250, 47929
30250, 49458
47929, 59454
54966, 93602
30250, 59778
30250, 98687
10582, 38030
10582, 82602
9771, 30395
9771, 61876
9771, 78756
9771, 78972
9771, 103531
12038, 101287
24652, 36824
29806, 36824
29806, 58327
29806, 61876
32305, 78972
36824, 58327
58327, 61876
98623, 103531
7623, 33366
11737, 25620
15038, 29806
39326, 99233
22875, 58327
4858, 30250
413, 46364
36438, 38392
38392, 73537
14575, 63688
29846, 55104
29846, 94018
31818, 46364
42740, 55104
42740, 67674
46364, 67674
46364, 94018
55104, 67674
5093, 78299
36382, 100548
33366, 78004
33366, 78516
63989, 73959
15038, 70717
37277, 70717
