9, 9
19, 19
21, 21
146, 85292
146, 85292
146, 85292
146, 85292
146, 85292
146, 85292
146, 85292
146, 85292
9017, 75834
13028, 36041
19152, 79886
36041, 75898
18387, 74895
16193, 78516
18387, 74895
16193, 78516
5093, 78299
44358, 86156
32307, 85050
15038, 20443
9457, 46527
68199, 91351
28633, 85752
38298, 81962
68874, 91351
52431, 79038
74874, 79320
29793, 70291
30058, 70291
54656, 70291
413, 4345
1738, 36041
7267, 16013
16013, 71302
36041, 36421
9017, 16360
35854, 37206
30638, 44102
35833, 86735
60761, 74059
18866, 34607
18866, 50435
18866, 71302
23280, 88250
31295, 44352
7848, 71302
16013, 35463
16013, 71302
30395, 71302
56183, 72379
58248, 72379
58248, 81713
782, 6544
782, 31818
782, 62560
6544, 70717
7919, 70717
21773, 47112
31818, 70717
33245, 70717
47112, 58648
52380, 70717
70717, 91531
98294, 99738
40276, 51233
73537, 91157
47929, 58327
47929, 94054
58327, 59700
1323, 73537
15384, 73537
70057, 73537
73537, 91946
73537, 95514
62307, 75639
47929, 73537
47929, 76717
69849, 85292
73744, 85292
8295, 18058
47112, 63973
36824, 79445
80238, 82714
2825, 47929
7090, 47929
11303, 63973
20676, 47929
20676, 63973
20676, 100548
27587, 47929
27838, 63973
44102, 63973
44102, 100548
47929, 50522
47929, 63973
47929, 74792
47929, 76717
47929, 82182
47929, 100053
47929, 100548
62204, 100548
63973, 100548
74792, 76717
100053, 100548
15714, 85292
20667, 100800
85292, 87552
12895, 41262
41262, 46936
15161, 32305
45221, 75716
51934, 66679
78029, 88358
9548, 72962
15320, 87948
9872, 47929
11737, 49458
11737, 58327
12834, 58327
35286, 58327
47929, 58327
47929, 69096
47929, 85466
47929, 91157
49458, 58327
52316, 58327
52316, 85466
58327, 69096
58327, 78004
58327, 85466
85466, 91157
20788, 61540
6435, 20163
20163, 100078
68323, 100078
68130, 91157
3583, 12895
97636, 97732
9872, 30250
30250, 75484
30250, 79526
84847, 101403
13751, 57442
13751, 57442
1111, 98687
1371, 20676
3583, 12895
3583, 26562
3583, 98687
12895, 72817
20676, 92029
27984, 98687
30577, 98687
52773, 61933
59763, 98687
81869, 98687
91280, 98687
92015, 92029
95601, 98687
13028, 20163
54719, 89492
8054, 84128
11468, 61330
50931, 53266
53266, 61933
53266, 100078
61933, 100078
12451, 52431
44514, 70717
51233, 53266
53266, 77806
11458, 100548
30638, 100548
7872, 51236
7872, 91157
32305, 51236
32305, 73568
33145, 51236
33145, 91157
51236, 73568
51236, 91157
73568, 91157
12895, 33755
12895, 57050
12895, 100548
16178, 100548
33755, 50546
33755, 63973
33755, 87445
33755, 100548
50546, 63973
50546, 100548
50546, 101287
63973, 100548
63973, 101287
77777, 100548
21637, 29846
90816, 93514
36824, 75834
13028, 46191
76602, 88358
9017, 79445
5352, 17469
11458, 70291
17469, 70291
17469, 85685
75607, 86923
86370, 100548
22982, 59199
58327, 68158
58327, 75834
58327, 87552
68158, 75834
61876, 74190
63546, 74190
74190, 84847
7913, 8449
20443, 50931
20443, 73744
2670, 61924
10511, 63053
38392, 74895
15959, 83312
10582, 53266
53266, 64420
53266, 91351
74623, 99918
26865, 68874
96624, 100053
7974, 18262
11483, 32307
11483, 33755
19818, 33755
32307, 90105
33755, 38392
33755, 51236
33755, 82728
1371, 52611
15038, 16193
61054, 91351
78972, 91351
18387, 74895
52380, 101356
13620, 49650
